"Name","Role","Method","Path","Status","Expected","Pass","Preview"
"Auth login admin","Anonymous","POST","/identity/api/auth/login","200","200","True","{""userId"":""6dfdb08b-1db0-40bc-8725-3cf14a0dfb17"",""email"":""admin@supplychain.local"",""role"":""Admin"",""accessToken"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiI2ZGZkYjA4Yi0xZGIwLTQwYmMtODcyNS0zY2YxNGEwZGZiMTciLCJlbWFpbC"
"Auth register dealer","Anonymous","POST","/identity/api/auth/register","201","201,409","True","{""userId"":""c7723a84-fb14-4b7d-b964-939a9aae4cdb"",""status"":""Pending"",""message"":""Registration submitted and pending admin approval.""}"
"Admin approve dealer","Admin","PUT","/identity/api/admin/dealers/c7723a84-fb14-4b7d-b964-939a9aae4cdb/approve","200","200,404","True","{""message"":""Dealer approved.""}"
"Auth login dealer","Anonymous","POST","/identity/api/auth/login","200","200,401","True","{""userId"":""c7723a84-fb14-4b7d-b964-939a9aae4cdb"",""email"":""dealer.20260329165246@supplychain.local"",""role"":""Dealer"",""accessToken"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJjNzcyM2E4NC1mYjE0LTRiN2QtYjk2NC05MzlhOWFhZ"
"Catalog list admin for seed","Admin","GET","/catalog/api/products?page=1&size=20","200","200","True","{""items"":[{""productId"":""72f2db1a-f0bf-43ac-945d-e940a4a268fc"",""sku"":""CBL-001"",""name"":""Mock Product Updated 20260329164628"",""unitPrice"":209.99,""availableStock"":354,""isActive"":true,""imageUrl"":null},{""productId"":""d951a595-9"
"Catalog detail admin for seed","Admin","GET","/catalog/api/products/72f2db1a-f0bf-43ac-945d-e940a4a268fc","200","200,404","True","{""productId"":""72f2db1a-f0bf-43ac-945d-e940a4a268fc"",""sku"":""CBL-001"",""name"":""Mock Product Updated 20260329164628"",""description"":""Updated"",""categoryId"":""82fccf19-8e4a-4489-8326-fb7371c03a1b"",""unitPrice"":209.99,""minOrderQty"
"Catalog restock warehouse","Warehouse","POST","/catalog/api/products/72f2db1a-f0bf-43ac-945d-e940a4a268fc/restock","200","200,404","True","{""message"":""Product restocked.""}"
"Orders create dealer","Dealer","POST","/orders/api/orders","201","201,400,409","True","{""orderId"":""f08458f4-1432-4e35-ae7a-4677cec9db8c"",""orderNumber"":""ORD-2026-4764143D"",""dealerId"":""c7723a84-fb14-4b7d-b964-939a9aae4cdb"",""status"":2,""creditHoldStatus"":2,""paymentMode"":0,""totalAmount"":419.98,""placedAtUtc"":""20"
"Logistics create shipment","Logistics","POST","/logistics/api/logistics/shipments","201","201,400,404","True","{""shipmentId"":""942360fd-aa0a-4ad5-9bc3-3b1896f77a46"",""orderId"":""f08458f4-1432-4e35-ae7a-4677cec9db8c"",""dealerId"":""c7723a84-fb14-4b7d-b964-939a9aae4cdb"",""shipmentNumber"":""SHP-2026-7F598786"",""deliveryAddress"":""12 Demo Stre"
"Payments seed dealer account","Admin","POST","/payments/api/payment/dealers/c7723a84-fb14-4b7d-b964-939a9aae4cdb/account","200","200,404","True","{""accountId"":""6216b434-6dd1-412b-a729-e78a2cdc43eb"",""dealerId"":""c7723a84-fb14-4b7d-b964-939a9aae4cdb"",""creditLimit"":500000.00,""currentOutstanding"":0.00,""availableCredit"":500000.00}"
"Payments generate invoice","Admin","POST","/payments/api/payment/invoices","201","201,400,404","True","{""invoiceId"":""191b973a-89d4-419e-a282-d50e0cbc35c3"",""invoiceNumber"":""INV-2026-0AF5C93E"",""orderId"":""f08458f4-1432-4e35-ae7a-4677cec9db8c"",""dealerId"":""c7723a84-fb14-4b7d-b964-939a9aae4cdb"",""idempotencyKey"":""956E2BB9C442B71"
"Notifications manual create","Admin","POST","/notifications/api/notifications/manual","201","201,400","True","{""notificationId"":""83450323-5cf5-4d01-adfb-741d8b08cc2f"",""recipientUserId"":""c7723a84-fb14-4b7d-b964-939a9aae4cdb"",""title"":""Mock Notice 20260329165246"",""body"":""Generated by endpoint matrix runner"",""sourceService"":""Notific"
"Auth forgot password","Anonymous","POST","/identity/api/auth/forgot-password","200","200","True","{""message"":""If the account exists, an OTP has been sent.""}"
"Auth reset password invalid otp","Anonymous","POST","/identity/api/auth/reset-password","400","400,401","True","{""message"":""OTP is invalid or expired.""}"
"Auth refresh no cookie","Anonymous","POST","/identity/api/auth/refresh","401","401","True","{""message"":""Refresh token cookie is missing.""}"
"Users profile admin","Admin","GET","/identity/api/users/profile","200","200","True","{""userId"":""6dfdb08b-1db0-40bc-8725-3cf14a0dfb17"",""fullName"":""Platform Admin"",""email"":""admin@supplychain.local"",""role"":""Admin"",""status"":""Active"",""creditLimit"":500000.00,""dealerBusinessName"":null,""dealerGstNumber"":null,""is"
"Users profile anonymous denied","Anonymous","GET","/identity/api/users/profile","401","401","True",""
"Admin dealers list admin","Admin","GET","/identity/api/admin/dealers?page=1&pageSize=20","200","200","True","{""items"":[{""userId"":""c7723a84-fb14-4b7d-b964-939a9aae4cdb"",""fullName"":""Mock Dealer"",""email"":""dealer.20260329165246@supplychain.local"",""businessName"":""Mock Dealer 20260329165246"",""gstNumber"":""29ABCDE5246F1Z5"",""status"":""Ac"
"Admin dealers list dealer denied","Dealer","GET","/identity/api/admin/dealers?page=1&pageSize=19&search=denied-check","403","403","True",""
"Admin dealer detail","Admin","GET","/identity/api/admin/dealers/c7723a84-fb14-4b7d-b964-939a9aae4cdb","200","200,404","True","{""userId"":""c7723a84-fb14-4b7d-b964-939a9aae4cdb"",""fullName"":""Mock Dealer"",""email"":""dealer.20260329165246@supplychain.local"",""phoneNumber"":""9000000001"",""status"":""Active"",""creditLimit"":500000.00,""rejectionReason"":null,""bus"
"Admin dealer credit limit","Admin","PUT","/identity/api/admin/dealers/c7723a84-fb14-4b7d-b964-939a9aae4cdb/credit-limit","502","200,404,502","True",""
"Catalog create product dealer denied","Dealer","POST","/catalog/api/products","403","403","True",""
"Catalog update product admin","Admin","PUT","/catalog/api/products/72f2db1a-f0bf-43ac-945d-e940a4a268fc","200","200,404,500","True","{""productId"":""72f2db1a-f0bf-43ac-945d-e940a4a268fc"",""sku"":""CBL-001"",""name"":""Mock Product Updated 20260329165246"",""description"":""Updated"",""categoryId"":""82fccf19-8e4a-4489-8326-fb7371c03a1b"",""unitPrice"":209.99,""minOrderQty"
"Catalog list anonymous denied by gateway auth","Anonymous","GET","/catalog/api/products?page=1&size=20","401","401","True",""
"Catalog detail anonymous denied by gateway auth","Anonymous","GET","/catalog/api/products/72f2db1a-f0bf-43ac-945d-e940a4a268fc","401","401","True",""
"Catalog search anonymous denied by gateway auth","Anonymous","GET","/catalog/api/products/search?q=Mock","401","401","True",""
"Catalog stock warehouse","Warehouse","GET","/catalog/api/products/72f2db1a-f0bf-43ac-945d-e940a4a268fc/stock","200","200,404","True","{""productId"":""72f2db1a-f0bf-43ac-945d-e940a4a268fc"",""totalStock"":374,""reservedStock"":0,""availableStock"":374}"
"Inventory soft-lock dealer","Dealer","POST","/catalog/api/inventory/soft-lock","200","200,409,404","True","{""message"":""Stock soft-locked.""}"
"Inventory hard-deduct logistics","Logistics","POST","/catalog/api/inventory/hard-deduct","200","200,409,404","True","{""message"":""Stock hard-deducted.""}"
"Inventory release-soft-lock admin","Admin","POST","/catalog/api/inventory/release-soft-lock","200","200,404","True","{""message"":""Soft-lock released.""}"
"Inventory subscribe dealer","Dealer","POST","/catalog/api/inventory/subscriptions","200","200,400,404","True","{""message"":""Subscribed.""}"
"Inventory unsubscribe dealer","Dealer","DELETE","/catalog/api/inventory/subscriptions","200","200,404","True","{""message"":""Unsubscribed.""}"
"Orders create admin denied","Admin","POST","/orders/api/orders","403","403","True",""
"Orders my dealer","Dealer","GET","/orders/api/orders/my?page=1&pageSize=20","200","200","True","{""items"":[{""orderId"":""f08458f4-1432-4e35-ae7a-4677cec9db8c"",""orderNumber"":""ORD-2026-4764143D"",""dealerId"":""c7723a84-fb14-4b7d-b964-939a9aae4cdb"",""status"":2,""totalAmount"":419.98,""placedAtUtc"":""2026-03-29T11:22:53.4668576""}"
"Orders detail dealer","Dealer","GET","/orders/api/orders/f08458f4-1432-4e35-ae7a-4677cec9db8c","200","200,404","True","{""orderId"":""f08458f4-1432-4e35-ae7a-4677cec9db8c"",""orderNumber"":""ORD-2026-4764143D"",""dealerId"":""c7723a84-fb14-4b7d-b964-939a9aae4cdb"",""status"":2,""creditHoldStatus"":2,""paymentMode"":0,""totalAmount"":419.98,""placedAtUtc"":""20"
"Orders detail admin","Admin","GET","/orders/api/orders/f08458f4-1432-4e35-ae7a-4677cec9db8c","200","200,404","True","{""orderId"":""f08458f4-1432-4e35-ae7a-4677cec9db8c"",""orderNumber"":""ORD-2026-4764143D"",""dealerId"":""c7723a84-fb14-4b7d-b964-939a9aae4cdb"",""status"":2,""creditHoldStatus"":2,""paymentMode"":0,""totalAmount"":419.98,""placedAtUtc"":""20"
"Orders update status logistics","Logistics","PUT","/orders/api/orders/f08458f4-1432-4e35-ae7a-4677cec9db8c/status","400","200,404,400","True","{""message"":""Cannot transition order from 'Processing' to 'Processing'.""}"
"Orders cancel dealer","Dealer","POST","/orders/api/orders/f08458f4-1432-4e35-ae7a-4677cec9db8c/cancel","404","200,404,400","True","{""type"":""https://tools.ietf.org/html/rfc9110#section-15.5.5"",""title"":""Not Found"",""status"":404,""traceId"":""00-d02def2f371e313b38a352c693960cda-c6882983f0df4a09-00""}"
"Orders return request dealer","Dealer","POST","/orders/api/orders/f08458f4-1432-4e35-ae7a-4677cec9db8c/returns","400","200,404,400","True","{""message"":""Return request can only be raised after delivery.""}"
"Admin orders list admin","Admin","GET","/orders/api/admin/orders?page=1&pageSize=20","200","200","True","{""items"":[{""orderId"":""f08458f4-1432-4e35-ae7a-4677cec9db8c"",""orderNumber"":""ORD-2026-4764143D"",""dealerId"":""c7723a84-fb14-4b7d-b964-939a9aae4cdb"",""status"":2,""totalAmount"":419.98,""placedAtUtc"":""2026-03-29T11:22:53.4668576""}"
"Admin orders list warehouse","Warehouse","GET","/orders/api/admin/orders?page=1&pageSize=20","200","200","True","{""items"":[{""orderId"":""f08458f4-1432-4e35-ae7a-4677cec9db8c"",""orderNumber"":""ORD-2026-4764143D"",""dealerId"":""c7723a84-fb14-4b7d-b964-939a9aae4cdb"",""status"":2,""totalAmount"":419.98,""placedAtUtc"":""2026-03-29T11:22:53.4668576""}"
"Admin orders list logistics","Logistics","GET","/orders/api/admin/orders?page=1&pageSize=20","200","200","True","{""items"":[{""orderId"":""f08458f4-1432-4e35-ae7a-4677cec9db8c"",""orderNumber"":""ORD-2026-4764143D"",""dealerId"":""c7723a84-fb14-4b7d-b964-939a9aae4cdb"",""status"":2,""totalAmount"":419.98,""placedAtUtc"":""2026-03-29T11:22:53.4668576""}"
"Admin approve hold","Admin","PUT","/orders/api/admin/orders/f08458f4-1432-4e35-ae7a-4677cec9db8c/approve-hold","404","200,404,400","True","{""type"":""https://tools.ietf.org/html/rfc9110#section-15.5.5"",""title"":""Not Found"",""status"":404,""traceId"":""00-0fe3308ba6216f0ea11493c36aae0f27-a67729091c344c12-00""}"
"Admin reject hold","Admin","PUT","/orders/api/admin/orders/f08458f4-1432-4e35-ae7a-4677cec9db8c/reject-hold","404","200,404,400","True","{""type"":""https://tools.ietf.org/html/rfc9110#section-15.5.5"",""title"":""Not Found"",""status"":404,""traceId"":""00-66066be65d3d65514b96cd057e218f75-76879af9268bdcf7-00""}"
"Logistics create shipment dealer denied","Dealer","POST","/logistics/api/logistics/shipments","403","403","True",""
"Logistics get shipment dealer","Dealer","GET","/logistics/api/logistics/shipments/942360fd-aa0a-4ad5-9bc3-3b1896f77a46","200","200,404","True","{""shipmentId"":""942360fd-aa0a-4ad5-9bc3-3b1896f77a46"",""orderId"":""f08458f4-1432-4e35-ae7a-4677cec9db8c"",""dealerId"":""c7723a84-fb14-4b7d-b964-939a9aae4cdb"",""shipmentNumber"":""SHP-2026-7F598786"",""deliveryAddress"":""12 Demo Stre"
"Logistics get my dealer shipments","Dealer","GET","/logistics/api/logistics/shipments/my","200","200","True","[{""shipmentId"":""942360fd-aa0a-4ad5-9bc3-3b1896f77a46"",""orderId"":""f08458f4-1432-4e35-ae7a-4677cec9db8c"",""dealerId"":""c7723a84-fb14-4b7d-b964-939a9aae4cdb"",""shipmentNumber"":""SHP-2026-7F598786"",""deliveryAddress"":""12 Demo Str"
